neighborhoods,number of playgrounds
Allegheny Center,4
Allentown,1
Banksville,1
Bedford Dwellings,1
Beechview,5
Beltzhoover,4
Bloomfield,2
Bluff,1
Bon Air,1
Brighton Heights,2
Brookline,2
Carrick,3
Central Lawrenceville,1
Central Northside,2
Central Oakland,1
Crafton Heights,2
Crawford-Roberts,3
Duquesne Heights,1
East Carnegie,1
East Liberty,3
Elliott,3
Esplen,1
Fairywood,1
Fineview,1
Garfield,2
Greenfield,2
Hays,1
Hazelwood,3
Highland Park,4
Homewood North,1
Homewood West,1
Larimer,1
Lincoln Place,2
Lincoln-Lemington-Belmar,2
Lower Lawrenceville,1
Manchester,2
Marshall-Shadeland,2
Middle Hil,1
Morningside,2
Mount Washington,3
New Homestead,1
Oakwood,1
Perry North,1
Perry South,1
Point Breeze North,1
Polish Hill,1
Regent Square,1
Shadyside,1
Sheraden,4
South Oakland,3
South Side Flats,2
South Side Slopes,5
Spring Garden,1
Spring Hill-City View,1
Squirrel Hill North,1
Squirrel Hill South,8
Stanton Heights,1
Strip District,1
Swisshelm Park,1
Terrace Village,1
Troy Hill,2
Upper Hill,1
Upper Lawrenceville,3
West End,1
West Oakland,1
Westwood,1
Windgap,1
